Citations,Authors,Title,Year,Source,Publisher,Branch,Keywords,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
77,"Gustavo Deco, Tai Sing Lee",The role of early visual cortex in visual integration: a neural model of recurrent interaction,2004,European Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Visual search, Visual processing, Visual modularity, Visual memory, Visual cortex, Vision for perception and vision for action, Psychology, Neuroscience, N2pc, Cognitive psychology, Biased Competition Theory, Anatomy",http://onlinelibrary.wiley.com/doi/10.1111/j.1460-9568.2004.03528.x/abstract,,71,06/05/2020 21:15,Journal article,10.1111/J.1460-9568.2004.03528.X,,,20,4,1089,1100,77,4.81,39,2,16,"This paper presents a model on the potential functional roles of the early visual cortex in the primate visual system. Our hypothesis is that early visual areas, such as V1, are important for continual interaction among various higher order visual areas during visual processing. The interaction is mediated by recurrent connections between higher order visual areas and V1, manifested in the longlatency context-sensitive activities often observed in neurophysiological experiments, and is responsible for the re-integration of information analysed by the higher visual areas. Specifically, we considered the case of integrating ‘what’ and ‘where’ information from the ventral and dorsal streams. We found that such a cortical architecture provides simple solutions and fresh insights into the problems of attentional routing and visual search. The computational viability of this architecture was tested by simulating a largescale neural dynamical network."
129,"Gustavo Deco, Edmund T Rolls, Barry Horwitz",'What'' and ''Where'' in Visual Working Memory: A Computational Neurodynamical Perspective for Integrating fMRI and Single-Neuron Data,2004,Journal of Cognitive Neuroscience,,Computational and Cognitive Neuroscience,"Working memory, Synapse, Stimulus (physiology), Psychology, Prefrontal cortex, Neuroscience, Functional magnetic resonance imaging, Functional imaging, Electrophysiology, Cognition",http://cognet.mit.edu/node/25140,,34,06/05/2020 21:15,Journal article,10.1162/089892904323057380,,,16,4,683,701,129,8.06,43,3,16,"Single-neuron recordings, functional magnetic resonance imaging (fMRI) data, and the effects of lesions indicate that the prefrontal cortex (PFC) is involved in some types of working memory and related cognitive processes. Based on these data, two different models of the topographical and functional organization of the PFC have been proposed: organization-by-stimulus-domain, and organization-by-process. In this article, we utilize an integrate-and-fire network to model both single-neuron and fMRI data on short-term memory in order to understand data obtained in topologically different parts of the PFC during working memory tasks. We explicitly model the mechanisms that underlie workingmemory-related activity during the execution of delay tasks that have a ''what''-then-''where'' design (with both object and spatial delayed responses within the same trial). The model contains different populations of neurons (as found experimentally) in attractor networks that respond in the delay period to the stimulus object, the stimulus position, and to combinations of both object and position information. The pools are arranged hierarchically and have global inhibition through inhibitory interneurons to implement competi tion. It is shown that a biasing attentional input to define the current relevant information (object or location) enables the system to select the correct neuronal populations during the delay period in what is a biased competition model of attention. The processes occurring at the AMPA and NMDA synapses are dynamically modeled in the integrate-and-fire implementation to produce realistic spiking dynamics. It is shown that the fMRI data characteristic of the dorsal PFC and linked to spatial processing and manipulation of items can be reproduced in the model by a high level of inhibition, whereas the fMRI data characteristic of the ventral PFC and linked to object processing can be produced by a lower level of inhibition, even though the network is itself topographically homogeneous with no spatial topology of the neurons. This article, thus, not only presents a model for how spatial versus object short-term memory could be implemented in the PFC, but also shows that the fMRI BOLD signal measured during such tasks from different parts of the PFC could reflect a higher level of inhibition dorsally, without this dorsal region necessarily being primarily spatial and the ventral region object-related."
155,"Gustavo Deco, Edmund T Rolls",Synaptic and Spiking Dynamics underlying Reward Reversal in the Orbitofrontal Cortex,2004,Cerebral Cortex,,Computational and Cognitive Neuroscience,"Working memory, Stimulus (physiology), Shut down, Reinforcement, Psychology, Orbitofrontal cortex, Neuroscience, Cognitive psychology, Cognition, Action selection",https://academic.oup.com/cercor/article-abstract/15/1/15/282736,,35,06/05/2020 21:15,Journal article,10.1093/CERCOR/BHH103,,,15,1,15,30,155,9.69,78,2,16,"Cognitive and emotional flexibility involve a coordinated interaction between working memory, attention, reward expectations, and the evaluation of rewards and punishers so that behaviour can be changed if necessary. We describe a model at the integrate-and-fire neuronal level of the synaptic and spiking mechanisms which can hold an expectation of a reward rule in working memory, and can reverse the reward rule if expected rewards are not obtained. An example of a reward rule is that stimulus 1 is currently associated with reward, and stimulus 2 with punishment. The attractor-based reward rule working memory incorporates a spike-frequency synaptic adaptation mechanism which supports the neural switching between rules by being shut down by a general inhibitory input produced by punishment, so that when the attractor starts up again is in the opposite state. The mechanism can implement one-trial reward reversal, which is a property of orbitofrontal cortex neurons. We show how this reward rule input can operate in a biased competition way to influence which one of two stimuli is currently associated with reward and which with punishment, and to map the stimuli correctly to the reward or punishment representations, providing a basis for action selection required to obtain the reinforcer."
359,"Gustavo Deco, Edmund T Rolls",A Neurodynamical cortical model of visual attention and invariant object recognition,2004,Vision Research,,Computational and Cognitive Neuroscience,"Visual search, Visual cortex, Temporal cortex, Stimulus (physiology), Receptive field, Psychology, Posterior parietal cortex, Communication, Cognitive neuroscience of visual object recognition, Biased Competition Theory",http://www.ncbi.nlm.nih.gov/pubmed/14693189,,8,06/05/2020 21:15,Journal article,10.1016/J.VISRES.2003.09.037,,,44,6,621,642,359,22.44,180,2,16,"We describe a model of invariant visual object recognition in the brain that incorporates feedback biasing effects of top–down attentional mechanisms on a hierarchically organized set of visual cortical areas with convergent forward connectivity, reciprocal feedback connections, and local intra-area competition. The model displays space-based and object-based covert visual search by using attentional top–down feedback from either the posterior parietal or the inferior temporal cortex (IT) modules, and interactions between the two processing streams occurring in V1 and V2. The model explains the gradually increasing magnitude of the attentional modulation that is found in fMRI experiments from earlier visual areas (V1, V2) to higher ventral stream visual areas (V4, IT); how the effective size of the receptive fields of IT neurons becomes smaller in natural cluttered scenes; and makes predictions about interactions between stimuli in their receptive fields."
70,"Gustavo Deco, Edmund T Rolls",Sequential Memory: A Putative Neural and Synaptic Dynamical Mechanism,2005,Journal of Cognitive Neuroscience,,Neuronal Networks,"Sequential access memory, Sequence learning, Psychology, Neuroscience, Memoria, Connectionism, Autoassociative memory, AttractorAssociative property, Artificial neural network",http://cognet.mit.edu/journal/10.1162/0898929053124875,,82,06/05/2020 21:15,Journal article,10.1162/0898929053124875,,,17,2,294,307,70,4.67,35,2,15,"A key issue in the neurophysiology of cognition is the problem of sequential learning. Sequential learning refers to the ability to encode and represent the temporal order of discrete elements occurring in a sequence. We show that the short-term memory for a sequence of items can be implemented in an autoassociation neural network. Each item is one of the attractor states of the network. The autoassociation network is implemented at the level of integrate-and-fire neurons so that the contributions of different biophysical mechanisms to sequence learning can be investigated. It is shown that if it is a property of the synapses or neurons that support each attractor state that they adapt, then everytime the network is made quiescent (e.g., by inhibition), then the attractor state that emerges next is the next item in the sequence. We show with numerical simulations implementations of the mechanisms using (1) a sodium inactivation-based spike-frequency-adaptation mechanism, (2) a Ca2+-activated K+ current, and (3) short-term synaptic depression, with sequences of up to three items. The network does not need repeated training on a particular sequence and will repeat the items in the order that they were last presented. The time between the items in a sequence is not fixed, allowing the items to be read out as required over a period of up to many seconds. The network thus uses adaptation rather than associative synaptic modification to recall the order of the items in a recently presented sequence."
238,"Gustavo Deco, Edmund T Rolls",Neurodynamics of biased competition and cooperation for attention: a model with spiking neurons,2005,Journal of Neurophysiology,,Computational and Cognitive Neuroscience,"Psychology, Neuroscience, Neurophysiology, Communication",http://www.ncbi.nlm.nih.gov/pubmed/15703227,,17,06/05/2020 21:15,Journal article,10.1152/JN.01095.2004,,,94,1,295,313,238,15.87,119,2,15,"Recent neurophysiological experiments have led to a promising “biased competition hypothesis” of the neural basis of attention. According to this hypothesis, attention appears as a sometimes nonlin..."
301,"Gustavo Deco, Edmund T Rolls","Attention, short-term memory, and action selection: A unifying theory",2005,Progress in Neurobiology,,Computational and Cognitive Neuroscience,"Working memory, Task switching, Short-term memory, Psychology, Prefrontal cortex, Perception, Computational neuroscience, Cognitive psychology, Attentional bias, Action selection",http://www.oxcns.org/papers/391_Deco+Rolls05.pdf,,14,06/05/2020 21:15,Journal article,10.1016/J.PNEUROBIO.2005.08.004,,,76,4,236,256,301,20.07,151,2,15,"Cognitive behaviour requires complex context-dependent processing of information that emerges from the links between attentional perceptual processes, working memory and reward-based evaluation of the performed actions. We describe a computational neuroscience theoretical framework which shows how an attentional state held in a short term memory in the prefrontal cortex can by top-down processing influence ventral and dorsal stream cortical areas using biased competition to account for many aspects of visual attention. We also show how within the prefrontal cortex an attentional bias can influence the mapping of sensory inputs to motor outputs, and thus play an important role in decision making. We also show how the absence of expected rewards can switch an attentional bias signal, and thus rapidly and flexibly alter cognitive performance. This theoretical framework incorporates spiking and synaptic dynamics which enable single neuron responses, fMRI activations, psychophysical results, the effects of pharmacological agents, and the effects of damage to parts of the system to be explicitly simulated and predicted. This computational neuroscience framework provides an approach for integrating different levels of investigation of brain function, and for understanding the relations between them. The models also directly address how bottom-up and top-down processes interact in visual cognition, and show how some apparently serial processes reflect the operation of interacting parallel distributed systems. # 2005 Elsevier Ltd. All rights reserved."
59,"Edmund T Rolls, Gustavo Deco",2006 Special Issue: Attention in natural scenes: Neurophysiological and computational bases,2006,Neural Networks,,Computational and Cognitive Neuroscience,"Visual cortex, Temporal cortex, Receptive field, Perception, Mathematics, Foveal, Cortical magnification, Computer vision, Computational model, Binding problem, Artificial intelligence",http://ci.nii.ac.jp/naid/10018424015,,95,06/05/2020 21:15,Journal article,10.1016/J.NEUNET.2006.08.007,,,19,9,1383,1394,59,4.21,30,2,14,"How does attention operate in natural scenes? We show that the receptive fields of inferior temporal cortex neurons that implement object representations become small and located at the fovea in complex natural scenes. This facilitates the readout of information about an object that may be reward or punishment associated, and may be the target for action. Top-down biased competition to implement attention has a much weaker effect in complex natural scenes than in otherwise blank scenes with two objects. Part of the solution to the binding problem is thus that competition and the foveal cortical magnification factor emphasize what is present at the fovea, and limit the binding problem. Part of the solution to the binding problem is that neurons respond to combinations of features present in the correct relative spatial positions. Stimulus-dependent neuronal synchrony does not appear to be quantitatively important in feature binding, and in attention, in natural visual scenes, at least in the inferior temporal visual cortex, as shown by information theoretic analyses. The perception of multiple objects in a scene is facilitated by the fact that inferior temporal visual cortex neurons have asymmetrical receptive fields with respect to the fovea in complex scenes. Computational models of this processing are described."
196,"Gustavo Deco, Edmund T Rolls",Decision‐making and Weber's law: a neurophysiological model,2006,European Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Statistical fluctuations, Psychology, Premotor cortex, Noise effects, Neuroscience, Neurophysiology, Neuron, Multistability,Law, Attractor network, Attractor",http://europepmc.org/abstract/MED/16930418,,25,06/05/2020 21:15,Journal article,10.1111/J.1460-9568.2006.04940.X,,,24,3,901,916,196,14,98,2,14,"We describe an integrate-and-fire attractor model of the decision-related activity of ventral premotor cortex (VPC) neurons during a vibrotactile frequency comparison task [Romo et al. (2004) Neuron, 41, 165–173]. Populations of neurons for each decision in a biased competition attractor network receive a bias input that depends on the firing rates of VPC neurons that code for the two vibrotactile frequencies. The firing rate of the neurons in whichever attractor wins, reflects the sign of the difference in the frequencies (Df) being compared but not the absolute frequencies. However, the transition from the initial spontaneous firing state to one of the two possible attractor states depends probabilistically on the difference of the vibrotactile frequencies scaled by the base frequency. This is due to finite size noise effects related to the spiking activity in the network, and the divisive feedback inhibition implemented through inhibitory interneurons. Thus the neurophysiological basis for a psychophysical effect, Weber’s Law, can be related to statistical fluctuations and divisive inhibition in an attractor decision-making network."
82,"Gustavo Deco, Leandro Scarano, Salvador Sotofaraco",Weber's Law in Decision Making: Integrating Behavioral Data in Humans with a Neurophysiological Model,2007,The Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Psychology, Premotor cortex, Perceptual discrimination, Perception, Neurophysiology, Neural activity, Multistability, Law, Behavioral test, Behavioral data",https://repositori.upf.edu/handle/10230/16661,,76,06/05/2020 21:15,Journal article,10.1523/JNEUROSCI.1072-07.2007,,,27,42,11192,11200,82,6.31,27,3,13,"Recent single-cell studies in monkeys (Romo et al., 2004) show that the activity of neurons in the ventral premotor cortex covaries with the animal's decisions in a perceptual comparison task regarding the frequency of vibrotactile events. The firing rate response of these neurons was dependent only on the frequency differences between the two applied vibrations, the sign of that difference being the determining factor for correct task performance. We present a biophysically realistic neurodynamical model that can account for the most relevant characteristics of this decision-making-related neural activity. One of the nontrivial predictions of this model is that Weber's law will underlie the perceptual discrimination behavior. We confirmed this prediction in behavioral tests of vibrotactile discrimination in humans and propose a computational explanation of perceptual discrimination that accounts naturally for the emergence of Weber's law. We conclude that the neurodynamical mechanisms and computational principles underlying the decision-making processes in this perceptual discrimination task are consistent with a fluctuation-driven scenario in a multistable regime."
101,"Daniel Durstewitz, Gustavo Deco",Computational significance of transient dynamics in cortical networks,2007,European Journal of Neuroscience,,Neuronal Networks,"Stochastic game, Statistical physics, Sentence, Nonlinear system, Neuroscience, Models of neural computation, Computation, Chaotic, Biology, Attractor, Artificial neural network, Anatomy",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-9568.2007.05976.x,,60,06/05/2020 21:15,Journal article,10.1111/J.1460-9568.2007.05976.X,,,27,1,217,227,101,7.77,51,2,13,"In the published paper of Durstewitz & Deco (2007), there was an error in the Abstract (in the first sentence, the words ‘are correlated’ should have been moved to the end). In the same paper, as Fig. 6 was not printed in colour, the words ‘black’ and ‘red’ should have been replaced by ‘middle’ and ‘top and bottom’, respectively. The publishers apologize for these errors, and reproduce the corrected Abstract and Fig. 6 legend below. Abstract Neural responses are most often characterized in terms of the sets of environmental or internal conditions or stimuli with which their firing rate increases or decreases are correlated. Their transient (nonstationary) temporal profiles of activity have received comparatively less attention. Similarly, the computational framework of attractor neural networks puts most emphasis on the representational or computational properties of the stable states of a neural system. Here we review a couple of neurophysiological observations and computational ideas that shift the focus to the transient dynamics of neural systems. We argue that there are many situations in which the transient neural behaviour, while hopping between different attractor states or moving along ‘attractor ruins’, carries most of the computational and/or behavioural significance, rather than the attractor states eventually reached. Such transients may be related to the computation of temporally precise predictions or the probabilistic transitions among choice options, accounting for Weber's law in decision-making tasks. Finally, we conclude with a more general perspective on the role of transient dynamics in the brain, promoting the view that brain activity is characterized by a high-dimensional chaotic ground state from which transient spatiotemporal patterns (metastable states) briefly emerge. Neural computation has to exploit the itinerant dynamics between these states."
184,"Marco Loh, Edmund T Rolls, Gustavo Deco",A dynamical systems hypothesis of schizophrenia.,2007,PLOS Computational Biology,,Computational and Cognitive Neuroscience,"Working memory, Temporal lobe, Semantic memory, Schizophrenia, Neuroscience, Nerve net, Instability, Biology, Bioinformatics, Attractor, Anterior cingulate cortex",http://europepmc.org/articles/PMC2065887,,28,06/05/2020 21:15,Journal article,10.1371/JOURNAL.PCBI.0030228,,,3,11,,,184,14.15,61,3,13,"We propose a top-down approach to the symptoms of schizophrenia based on a statistical dynamical framework. We show that a reduced depth in the basins of attraction of cortical attractor states destabilizes the activity at the network level due to the constant statistical fluctuations caused by the stochastic spiking of neurons. In integrate-and-fire network simulations, a decrease in the NMDA receptor conductances, which reduces the depth of the attractor basins, decreases the stability of short-term memory states and increases distractibility. The cognitive symptoms of schizophrenia such as distractibility, working memory deficits, or poor attention could be caused by this instability of attractor states in prefrontal cortical networks. Lower firing rates are also produced, and in the orbitofrontal and anterior cingulate cortex could account for the negative symptoms, including a reduction of emotions. Decreasing the GABA as well as the NMDA conductances produces not only switches between the attractor states, but also jumps from spontaneous activity into one of the attractors. We relate this to the positive symptoms of schizophrenia, including delusions, paranoia, and hallucinations, which may arise because the basins of attraction are shallow and there is instability in temporal lobe semantic memory networks, leading thoughts to move too freely round the attractor energy landscape."
61,"Gustavo Deco, Ranulfo Romo",The role of fluctuations in perception,2008,Trends in Neurosciences,,Computational and Cognitive Neuroscience,"Stimulus (physiology), Somatosensory system, Sensory system, Psychophysics, Psychology, Perception, Percept, Neuroscience, Neuron, Brain activity and meditation",http://europepmc.org/abstract/MED/18823666,,93,06/05/2020 21:15,Journal article,10.1016/J.TINS.2008.08.007,,,31,11,591,598,61,5.08,31,2,12,"Noise contributed by the probabilistic spiking times of neurons has an important and advantageous role in brain function. We go beyond the deterministic noiseless description of the dynamics of cortical networks and show how the properties of the system are influenced by the spiking noise. We review here recent results that show the direct link between brain activity and psychophysically quantified behaviors during a somatosensory detection task. We focus on the following remarkable observation in this somatosensory task: when a near-threshold stimulus is presented, a sensory percept may or may not be produced. These perceptual judgments are believed to be determined by the fluctuation in activity of early sensory cortices. We show, however, that the behavioral outcomes associated with near-threshold stimuli depend on the neuronal fluctuations of more central areas to early somatosensory cortices. Furthermore, we show that the behavioral correlate of perceptual detection is given by a noise-driven transition in a multistable neurodynamical system. Thus, neuronal fluctuations can be an advantage for brain processing because they lead to probabilistic behavior in decision making in this and other sensory tasks."
66,"Klaas E Stephan, Klaas E Stephan, Jorge J Riera, Gustavo Deco, Barry Horwitz",The Brain Connectivity Workshops: Moving the frontiers of computational systems neuroscience,2008,NeuroImage,,Computational and Cognitive Neuroscience,"Systems neuroscience, Resting state fMRI, Neural system, Multidisciplinary approach, Functional connectivity, Computer science, Cognitive science, Cognition, Brain function",http://europepmc.org/articles/PMC2574909,,85,06/05/2020 21:15,Journal article,10.1016/J.NEUROIMAGE.2008.04.167,,,42,1,1,9,66,5.5,13,5,12,"Understanding the link between neurobiology and cognition requires that neuroscience moves beyond mere structure-function correlations. An explicit systems perspective is needed in which putative mechanisms of how brain function is constrained by brain structure are mathematically formalized and made accessible for experimental investigation. Such a systems approach critically rests on a better understanding of brain connectivity in its various forms. Since 2002, frontier topics of connectivity and neural system analysis have been discussed in a multidisciplinary annual meeting, the Brain Connectivity Workshop (BCW), bringing together experimentalists and theorists from various fields. This article summarizes some of the main discussions at the two most recent workshops, 2006 at Sendai, Japan, and 2007 at Barcelona, Spain: (i) investigation of cortical micro- & macrocircuits, (ii) models of neural dynamics at multiple scales, (iii) analysis of “resting state” networks, and (iv) linking anatomical to functional connectivity. Finally, we outline some central challenges and research trajectories in computational systems neuroscience for the next years."
82,"Edmund T Rolls, Marco Loh, Gustavo Deco",An attractor hypothesis of obsessive–compulsive disorder,2008,European Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Stimulus (physiology), Psychology, Prefrontal cortex, Neuroscience, NMDA receptor, Glutamatergic, Cognition, Attractor network, AttractorAMPA receptor",http://www.ncbi.nlm.nih.gov/pubmed/18671737,,73,06/05/2020 21:15,Journal article,10.1111/J.1460-9568.2008.06379.X,,,28,4,782,793,82,6.83,27,3,12,"We propose a top-down approach to the symptoms of obsessive–compulsive disorder (OCD) based on a statistical dynamical framework. An increased depth in the basins of attraction of attractor network states in the brain makes each state too stable, so that it tends to remain locked in that state and can not easily be moved on to another state. We suggest that the different symptoms that may be present in OCD could be related to changes of this type in different brain regions. For example, the difficulty in attentional and cognitive set switching could be related to networks operating in this way in the prefrontal cortex. Repetitive actions and a difficulty in moving to new actions could be related to overstability in networks in the higher order motor, including cingulate areas. In integrateand-fire network simulations, an increase in the N-methyl-d-aspartate (NMDA) and ⁄ or a-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptor conductances, which increases the depth of the attractor basins, increases the stability of attractor networks, and makes them less easily moved on to another state by a new stimulus. Increasing c-aminobutyric acid (GABA)-receptor activated currents can partly reverse this overstability. There is now some evidence for overactivity in glutamate transmitter systems in OCD, and the hypothesis presented here shows how some of the symptoms of OCD could be produced by the increase in the stability of attractor networks that is produced by increased glutamatergic activity."
96,"Andres Buehlmann, Gustavo Deco",The Neuronal Basis of Attention: Rate versus Synchronization Modulation,2008,The Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Visual attention, Synchronization, Rate modulation, Psychology, Neuroscience, Modulation, Experimental work, Encoding (memory), Communication, Biochemistry, Attentional modulation",http://www.ncbi.nlm.nih.gov/pubmed/18650344,,62,06/05/2020 21:15,Journal article,10.1523/JNEUROSCI.5640-07.2008,,,28,30,7679,7686,96,8,48,2,12,"Extensive theoretical and experimental work on the neuronal correlates of visual attention raises two hypotheses about the underlying mechanisms. The first hypothesis, named biased competition, originates from experimental single-cell recordings that have shown that attention upmodulates the firing rates of the neurons encoding the attended features and downregulates the firing rates of the neurons encoding the unattended features. Furthermore, attentional modulation of firing rates increases along the visual pathway. The other, newer hypothesis assigns synchronization a crucial role in the attentional process. It stems from experiments that have shown that attention modulates gamma-frequency synchronization. In this paper, we study the coexistence of the two phenomena using a theoretical framework. We find that the two effects can vary independently of each other and across layers. Therefore, the two phenomena are not concomitant. However, we show that there is an advantage in the processing of information if rate modulation is accompanied by gamma modulation, namely that reaction times are shorter, implying behavioral relevance for gamma synchronization."
311,"Edmund T Rolls, Marco Loh, Gustavo Deco, Georg Winterer",Computational models of schizophrenia and dopamine modulation in the prefrontal cortex,2008,Nature Reviews Neuroscience,,Computational and Cognitive Neuroscience,"Schizophrenia, Psychosis, Psychology, Prefrontal cortex, Neuroscience, Neurophysiology, Dopamine receptor, Dopamine, Developmental psychology, Computational neuroscience, Computational model",http://europepmc.org/abstract/MED/18714326,,10,06/05/2020 21:15,Journal article,10.1038/NRN2462,,,9,9,696,709,311,25.92,78,4,12,"Computational neuroscience models can be used to understand the diminished stability and noisy neurodynamical behaviour of prefrontal cortex networks in schizophrenia. These neurodynamical properties can be captured by simulated neural networks with randomly spiking neurons that introduce noise into the system and produce trial-by-trial variation of postsynaptic potentials. Theoretical and experimental studies have aimed to understand schizophrenia in relation to noise and signal-to-noise ratio, which are promising concepts for understanding the symptoms that characterize this heterogeneous illness. Simulations of biologically realistic neural networks show how the functioning of NMDA (N-methyl-d-aspartate), GABA (g-aminobutyric acid) and dopamine receptors is connected to the concepts of noise and variability, and to related neurophysiological findings and clinical symptoms in schizophrenia."
794,"Gustavo Deco, Viktor K Jirsa, P A Robinson, Michael Breakspear, Michael Breakspear, Karl J Friston",The Dynamic Brain: From Spiking Neurons to Neural Masses and Cortical Fields,2008,PLOS Computational Biology,,Computational and Cognitive Neuroscience,"Working memory, Neuroscience, Mathematical theory, Local field potential, Genetics, Functional magnetic resonance imaging, Electroencephalography, Computer science, Computational model, Complex system, Artificial neural networkArtificial intelligence",http://europepmc.org/articles/PMC2519166,,2,06/05/2020 21:15,Journal article,10.1371/JOURNAL.PCBI.1000092,,,4,8,,,794,66.17,132,6,12,"The cortex is a complex system, characterized by its dynamics and architecture, which underlie many functions such as action, perception, learning, language, and cognition. Its structural architecture has been studied for more than a hundred years; however, its dynamics have been addressed much less thoroughly. In this paper, we review and integrate, in a unifying framework, a variety of computational approaches that have been used to characterize the dynamics of the cortex, as evidenced at different levels of measurement. Computational models at different space–time scales help us understand the fundamental mechanisms that underpin neural processes and relate these processes to neuroscience data. Modeling at the single neuron level is necessary because this is the level at which information is exchanged between the computing elements of the brain; the neurons. Mesoscopic models tell us how neural elements interact to yield emergent behavior at the level of microcolumns and cortical columns. Macroscopic models can inform us about whole brain dynamics and interactions between large-scale neural systems such as cortical regions, the thalamus, and brain stem. Each level of description relates uniquely to neuroscience data, from single-unit recordings, through local field potentials to functional magnetic resonance imaging (fMRI), electroencephalogram (EEG), and magnetoencephalogram (MEG). Models of the cortex can establish which types of large-scale neuronal networks can perform computations and characterize their emergent properties. Mean-field and related formulations of dynamics also play an essential and complementary role as forward models that can be inverted given empirical data. This makes dynamic models critical in integrating theory and experiments. We argue that elaborating principled and informed models is a prerequisite for grounding empirical neuroscience in a cogent theoretical framework, commensurate with the achievements in the physical sciences."
73,"Larissa Albantakis, Gustavo Deco",The encoding of alternatives in multiple-choice decision making,2009,Proceedings of the National Academy of Sciences of the United States of America,,Computational and Cognitive Neuroscience,"Multiple choice, Machine learning, Experimental data, Encoding (memory), Decision field theory, Computer science, Biological neuron model, Binary number, Binary decision diagram, Artificial intelligence",http://europepmc.org/articles/PMC2691385,,74,06/05/2020 21:15,Journal article,10.1073/PNAS.0901621106,,,106,25,10308,10313,73,6.64,37,2,11,"During the last decades, research on binary decision making elucidated some of the basic neural mechanisms underlying the decision-making process. Recently, the focus of experimental as well as modeling studies began to shift from simple binary choices to decision making with multiple alternatives. In this article, we address the question how different numbers of choice alternatives might be handled and encoded in the brain. We present a minimal, biophysically realistic spiking neuron model for decision making with multiple alternatives. Our model accounts for the relevant aspects of recent experimental data of a random-dot motion-discrimination task on both the cellular and behavioral level. Notably, all network parameters and inputs in our network are independent of the number of possible alternatives used in the tested experimental paradigms (2 and 4 alternatives and 2 alternatives with an angular separation of 90°). This avoids the use of extra top-down regulation mechanisms to adapt the network to the number of choices. Furthermore, we show that increasing the number of neurons encoding each choice alternative is positively related to the network's capacity of choice-number-independent decision making. Consequently, our results suggest a physiological advantage of a pooled, multineuron representation of choice alternatives."
84,"Salvador Sotofaraco, Gustavo Deco",Multisensory contributions to the perception of vibrotactile events,2009,Behavioural Brain Research,,Neuronal Networks,"Stimulus (physiology), Sensory system, Psychology, Perception, Multisensory integration, Information processing, Functionalism (architecture), Empirical evidence, Developmental psychology, Communication, Cognitive science, Artificial neural network",https://www.ncbi.nlm.nih.gov/pubmed/18930769,,70,06/05/2020 21:15,Journal article,10.1016/J.BBR.2008.09.018,,,196,2,145,154,84,7.64,42,2,11,"Abstract We argue that audio-tactile interactions during vibrotactile processing provide a promising, albeit largely neglected, benchmark for the systematic study multisensory integration. This article reviews and discusses current evidence for multisensory contributions to the perception of vibratory events, and proposes a framework to address a number of relevant questions. First, we highlight some of the features that characterize the senses of hearing and touch in terms of vibratory information processing, and which allow for potential cross-modal interactions at multiple levels along the functional architecture of the sensory systems. Second, we briefly review empirical evidence for interactions between hearing and touch in the domain of vibroactile perception and related stimulus properties, covering behavioural, electrophysiological and neuroimaging studies in humans and animals. Third, we discuss the vibrotactile discrimination task, which has been successfully applied in the study of perception and decision processes in psychophysical and physiological research. We argue that this approach, complemented with computational modeling using biophysically realistic neural networks, may be a convenient framework to address auditory contributions to vibrotactile processing in the somatosensory system. Finally, we comment on a series of particular issues which are relevant in multisensory research and potentially addressable within the proposed framework."
93,"Gustavo Deco, Alexander Thiele",Attention – oscillations and neuropharmacology,2009,European Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Stimulus (physiology), Sensory system, Rhythm, Psychology, Postsynaptic Current, Neuroscience, Neuropharmacology, Network level, Glutamatergic, Cholinergic",http://europepmc.org/abstract/MED/19614749,,59,06/05/2020 21:15,Journal article,10.1111/J.1460-9568.2009.06833.X,,,30,3,347,354,93,8.45,47,2,11,"Attention is a rich psychological and neurobiological construct that influences almost all aspects of cognitive behaviour. It enables enhanced processing of behaviourally relevant stimuli at the expense of irrelevant stimuli. At the cellular level, rhythmic synchronization at local and long-range spatial scales complements the attention-induced firing rate changes of neurons. The former is hypothesized to enable efficient communication between neuronal ensembles tuned to spatial and featural aspects of the attended stimulus. Recent modelling studies suggest that the rhythmic synchronization in the gamma range may be mediated by a fine balance between N-methyl-d-aspartate and α-amino-3-hydroxy-5-methylisoxazole-4-propionate postsynaptic currents, whereas other studies have highlighted the possible contribution of the neuromodulator acetylcholine. This review summarizes some recent modelling and experimental studies investigating mechanisms of attention in sensory areas and discusses possibilities of how glutamatergic and cholinergic systems could contribute to increased processing abilities at the cellular and network level during states of top-down attention."
